id,handle,title,body_html,vendor,product_type,tags,status,images,options,metafields,published_at,created_at,updated_at
p1001,original-masala-chai,Original Masala Chai,<p>Original Masala Chai — premium quality from India</p>,VAHDAM India,Green Tea,"tea,premium",active,[],[],[],2022-01-15 00:00:00,2022-01-15 00:00:00,2024-01-01 00:00:00
p1002,himalayan-green-tea,Himalayan Green Tea,<p>Himalayan Green Tea — premium quality from India</p>,VAHDAM India,Green Tea,"tea,premium",active,[],[],[],2022-01-15 00:00:00,2022-01-15 00:00:00,2024-01-01 00:00:00
p1003,turmeric-spice-herbal,Turmeric Spice Herbal,<p>Turmeric Spice Herbal — premium quality from India</p>,VAHDAM India,Herbal Tea,"tea,premium",active,[],[],[],2022-01-15 00:00:00,2022-01-15 00:00:00,2024-01-01 00:00:00
p1004,assam-classic-black,Assam Classic Black,<p>Assam Classic Black — premium quality from India</p>,VAHDAM India,Black Tea,"tea,premium",active,[],[],[],2022-01-15 00:00:00,2022-01-15 00:00:00,2024-01-01 00:00:00
p1005,immunity-boost-blend,Immunity Boost Blend,<p>Immunity Boost Blend — premium quality from India</p>,VAHDAM India,Wellness Tea,"tea,premium",active,[],[],[],2022-01-15 00:00:00,2022-01-15 00:00:00,2024-01-01 00:00:00
p1006,earl-grey-supreme,Earl Grey Supreme,<p>Earl Grey Supreme — premium quality from India</p>,VAHDAM India,Black Tea,"tea,premium",active,[],[],[],2022-01-15 00:00:00,2022-01-15 00:00:00,2024-01-01 00:00:00
p1007,rose-green-tea,Rose Green Tea,<p>Rose Green Tea — premium quality from India</p>,VAHDAM India,Green Tea,"tea,premium",active,[],[],[],2022-01-15 00:00:00,2022-01-15 00:00:00,2024-01-01 00:00:00
p1008,sleep-well-blend,Sleep Well Blend,<p>Sleep Well Blend — premium quality from India</p>,VAHDAM India,Herbal Tea,"tea,premium",active,[],[],[],2022-01-15 00:00:00,2022-01-15 00:00:00,2024-01-01 00:00:00
p1009,gift-set-premium,Premium Gift Set,<p>Premium Gift Set — premium quality from India</p>,VAHDAM India,Gift Sets,"tea,premium",active,[],[],[],2022-01-15 00:00:00,2022-01-15 00:00:00,2024-01-01 00:00:00
p1010,ginger-lemon-herbal,Ginger Lemon Herbal,<p>Ginger Lemon Herbal — premium quality from India</p>,VAHDAM India,Herbal Tea,"tea,premium",active,[],[],[],2022-01-15 00:00:00,2022-01-15 00:00:00,2024-01-01 00:00:00
