id,report_date,report_period,sessions,added_to_cart,reached_checkout,sessions_converted,add_to_cart_rate,checkout_rate,conversion_rate
ae5fb94467519c1e05fb19e3943d0840,2023-01-01,monthly,72563,10406,5760,3491,0.1434,0.5535,0.0481
962c89498b7f12b5e300118666b66b1a,2023-02-01,monthly,56978,5950,3914,2838,0.1044,0.6578,0.0498
f603b8da580d32750f4fc53cf821772a,2023-03-01,monthly,52801,9218,6385,3725,0.1746,0.6927,0.0705
998b4147dc3787a4b3a08f3255394431,2023-04-01,monthly,34717,5692,3105,2222,0.164,0.5455,0.064
59f180a175df9ed88e3ee3a559c5d32f,2023-05-01,monthly,67514,13408,9148,6387,0.1986,0.6823,0.0946
fba9cb519f24ffb72bd434afb59547bf,2023-06-01,monthly,56371,8850,5412,3416,0.157,0.6115,0.0606
79ce0bdd8faab0792dfc19a03b9b3394,2023-07-01,monthly,76162,13593,7441,4175,0.1785,0.5474,0.0548
31fdd880d311f9cb80f99acab2f635d0,2023-08-01,monthly,34065,5593,3675,2121,0.1642,0.6571,0.0623
344a40a88b35a59194b5f8f31fb22755,2023-09-01,monthly,74610,14182,8233,6116,0.1901,0.5805,0.082
5db71e11089238d9acdf3de52fb7f6f5,2023-10-01,monthly,67225,7910,4747,3220,0.1177,0.6001,0.0479
83f71e72ca463c2b5e65dc46761730e7,2023-11-01,monthly,65647,8566,4542,3596,0.1305,0.5302,0.0548
6c11eeabb9f66c41cedb2edcd97b034a,2023-12-01,monthly,33443,4272,2185,1532,0.1277,0.5115,0.0458
d658eeec59bce2e063f48bb0019875b5,2024-01-01,monthly,54174,7792,4343,2767,0.1438,0.5574,0.0511
e801eff3fe48af8bb6579db6a794bbb0,2024-02-01,monthly,76825,9449,5344,3537,0.123,0.5656,0.046
c2cda424f0869452b2fee794b11bb010,2024-03-01,monthly,41042,6636,4638,2718,0.1617,0.6989,0.0662
92b1cd31183f065ece1f12acbcf9bbcb,2024-04-01,monthly,67568,7717,5785,4267,0.1142,0.7496,0.0632
976b31bb633d2cdc78118f28e3c44651,2024-05-01,monthly,60568,8177,5181,3304,0.135,0.6336,0.0546
e03a673ff49d4cce66305126fe47e7ff,2024-06-01,monthly,71626,13878,8845,7028,0.1938,0.6373,0.0981
61f8d223b9630d2f76c7f10a93afe98e,2024-07-01,monthly,59724,6520,3955,3103,0.1092,0.6066,0.052
64147259ff8fa75e9a89b1342b2428e7,2024-08-01,monthly,71067,9794,6407,4638,0.1378,0.6542,0.0653
45684f3b0429d976b650c34b9ffa6aea,2024-09-01,monthly,37694,4986,3227,2438,0.1323,0.6472,0.0647
d28c9e2d8a2700bd83a1ec7034dd3850,2024-10-01,monthly,48063,5761,4269,2676,0.1199,0.741,0.0557
5d0ff3ecb4a0b5e29431b2a4757e3cc4,2024-11-01,monthly,70150,13986,7060,5370,0.1994,0.5048,0.0766
e5753b654411db45d536b8e46214314f,2024-12-01,monthly,43107,7151,5035,3735,0.1659,0.7041,0.0866
bd68bb94c3e9a70778795ac8932db9b9,2025-01-01,monthly,52878,6828,4937,3473,0.1291,0.7231,0.0657
aa740c8d17b71988081f3e5dea172c46,2025-02-01,monthly,69862,11092,5898,4279,0.1588,0.5317,0.0612
53d98059e5ec4fc2dd6f1396308ab629,2025-03-01,monthly,39097,6347,3766,2506,0.1623,0.5934,0.0641
